자치구,행정동,행정동_코드,월평균_총생활인구수,연령대0_평균,연령대10_평균,연령대20_평균,연령대30_평균,연령대40_평균,연령대50_평균,연령대60_평균,연령대70이상_평균,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인 이상 가구,연령대_100,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점,연령대_2030_거주인구수_합,연령대_2030_거주인구수_평균,연령대_20_거주인구수_비율,연령대_30_거주인구수_비율,연령대_2030_거주인구수_비율,1인가구_비율,식품접객업,주점,주요경제활동인구_거주인구수,주요경제활동인구_생활인구수,PET예측량,수거함_개수,총_거주인구수,거주인구_당_수거함개수
용산구,후암동,11170510,10327842.205616666,563958.336475,737916.6773166667,1441188.3071583332,1942054.825425,1796132.3100333333,1538619.3246666668,1154994.0380083334,1152978.387375,2800,1941,1344,895,239,48,16,13.833333333333334,832.9166666666666,1105.6666666666667,2286.1666666666665,2555.1666666666665,2453.083333333333,2546.333333333333,2070.333333333333,1190.4166666666667,553.8333333333334,100.0,0.0,0.0,45.0,168.0,2075.0,540.0,4841.333333333333,4841.333333333333,0.1455438663504745,0.1626691707384359,0.3082130370889104,0.3844569545516957,2828.0,0.0,9840.75,6717994.767283333,64.88197906913334,0.0,15707.749999999998,15707.749999999998
용산구,용산2가동,11170520,8856604.630808333,348524.08351666667,575293.7891916666,1573996.96675,1923804.4805333333,1449977.3689249998,1060002.9197916666,910641.9324916666,1014363.0922583332,1911,1270,769,411,117,20,0,5.25,304.25,461.4166666666667,1379.5,1556.1666666666667,1213.0,1292.4166666666667,1309.5,828.5833333333334,411.0833333333333,72.16666666666667,0.0,0.0,66.0,86.0,2482.0,333.0,2935.666666666667,2935.666666666667,0.1561698113207547,0.1761698113207547,0.3323396226415094,0.4248554913294797,2967.0,0.0,5441.083333333334,6007781.736,49.972951944,0.0,8833.333333333334,8833.333333333334
용산구,남영동,11170530,10482713.016116666,229579.89505,443474.9947166666,1983072.3286833328,2150713.172775,1957811.5803416667,1682484.6505916668,1106033.4833333334,929542.911375,2382,759,364,206,68,9,0,13.833333333333334,164.33333333333334,235.5,864.0,951.3333333333334,967.1666666666666,1465.5,1258.1666666666667,593.5833333333334,261.0,46.16666666666666,57.0,105.0,190.0,125.0,4634.0,1241.0,1815.3333333333333,1815.3333333333333,0.1266753821154104,0.1394797610175082,0.2661551431329187,0.6288278775079198,6352.0,162.0,4248.0,7774081.732391667,63.431976929566666,0.0,6820.583333333334,6820.583333333334
용산구,청파동,11170555,16070722.901708337,641513.2236916666,1415757.0450916665,3539130.3503,2929914.997258333,2375821.3551416667,2214497.388608333,1484618.1334083334,1469470.406291667,5218,2251,1244,839,202,61,14,8.0,598.9166666666666,1015.75,3876.0833333333335,2909.333333333333,2429.833333333333,2826.6666666666665,2227.833333333333,1343.9166666666667,631.5833333333334,86.75,0.0,72.0,60.0,192.0,3990.0,1246.0,6785.416666666666,6785.416666666666,0.2158816649339076,0.1620377246398336,0.3779193895737412,0.5308780140400855,5560.0,72.0,12041.916666666666,11059364.091308331,115.07180636523331,0.0,17954.666666666664,17954.666666666664
용산구,원효로1동,11170560,15425684.87485,982972.5467333334,796053.0885583333,2428429.2328916667,3652417.981375,2860469.204,2147352.43575,1348524.2357,1209466.1437583333,2735,1861,1296,841,154,28,0,7.333333333333333,1174.0833333333333,814.75,2267.083333333333,3344.4166666666665,2390.5,2028.0833333333333,1518.75,747.3333333333334,325.25,52.41666666666666,65.0,106.0,72.0,92.0,3494.0,631.0,5611.5,5611.5,0.1545387411951829,0.2279765962281299,0.3825153374233129,0.3955169920462762,4460.0,171.0,10030.083333333334,11088668.854016667,81.48230041606666,0.0,14670.0,14670.0
용산구,원효로2동,11170570,10381737.9988,657448.9465916667,966029.1999666666,1272975.853,1737945.0566666666,1767667.4408333332,1622394.55145,1181095.2559666666,1176181.6984333333,1601,1481,1195,916,196,39,15,4.333333333333333,810.6666666666666,1104.0,1717.8333333333333,1925.1666666666667,2036.6666666666667,2100.1666666666665,1606.1666666666667,911.0,486.6666666666667,59.41666666666666,0.0,48.0,23.0,112.0,1245.0,354.0,3643.0,3643.0,0.1346044598256554,0.1508505011590323,0.2854549609846877,0.2941392614367077,1782.0,48.0,7779.833333333334,6400982.90195,47.3375066078,0.0,12762.083333333332,12762.083333333332
용산구,효창동,11170580,7575808.155191667,542185.5725416667,666019.5300833333,1081425.8167833334,1331068.427525,1195468.8767,1098729.6038916667,757993.7555416668,902916.5737,1082,1136,854,650,157,33,10,5.083333333333333,690.8333333333334,659.1666666666666,1430.5,1706.0,1418.0,1456.0833333333333,989.75,592.4166666666666,309.4166666666667,47.833333333333336,0.0,0.0,24.0,63.0,498.0,299.0,3136.5,3136.5,0.153733174519304,0.1833406471373174,0.3370738216566214,0.2758796532381438,884.0,0.0,6010.583333333333,4706692.7249,33.5149208996,0.0,9305.083333333332,9305.083333333332
용산구,용문동,11170590,6582643.717333333,468583.8912166666,514410.7948333333,849481.5940083334,1180391.7802666666,1042111.669375,963206.0759666666,753599.0372916666,810858.8736916668,1576,1392,1079,692,162,32,0,4.916666666666667,666.9166666666666,702.9166666666666,1652.4166666666667,1822.5,1622.4166666666667,1814.8333333333333,1426.6666666666667,889.25,372.8333333333333,58.25,0.0,12.0,74.0,39.0,1130.0,294.0,3474.916666666667,3474.916666666667,0.1497579433111542,0.1651725361952162,0.3149304795063705,0.3194810460166227,1549.0,12.0,6912.166666666667,4035191.1196166654,37.53496447846666,0.0,11033.916666666666,11033.916666666666
용산구,한강로동,11170625,32704897.98699167,1273670.5419833332,1510467.6352833332,6230008.071283333,7771149.397441667,6400015.148133334,4554410.884000001,2648383.8865,2316792.418391667,3755,2434,1463,901,181,43,8,12.333333333333334,1106.6666666666667,908.9166666666666,3344.333333333333,4248.0,2640.9166666666665,3164.1666666666665,2398.75,1228.75,618.5,104.83333333333331,24.0,237.0,242.0,249.0,8222.0,2617.0,7592.333333333333,7592.333333333333,0.1691092813740445,0.2148040149338008,0.3839132963078453,0.42743312464428,11591.0,261.0,13397.416666666666,24955583.500858333,150.7964590034333,0.0,19776.166666666664,19776.166666666664
용산구,이촌1동,11170630,20022131.45259167,1726551.8148166668,1831549.5917666664,1897322.260275,2896871.5834333333,3818376.410466667,3183914.8621,2293064.5436833333,2374480.381058333,1212,2594,2621,2052,403,79,14,11.083333333333334,2393.25,2585.75,2603.083333333333,3138.75,4306.5,4119.75,2745.0,1582.75,1098.0,209.5,9.0,24.0,59.0,156.0,2261.0,598.0,5741.833333333333,5741.833333333333,0.1049909082047989,0.1265961058211017,0.2315870140259007,0.135041782729805,3107.0,33.0,14168.083333333332,11796485.116275,63.6388404651,0.0,24793.416666666664,24793.416666666664
